year,sex,profession,income,age,ethnicity,net_worth,happiness
0,F,civil servant,5131.08,40,atlantean,10000.00,100.00
0,M,child,0.00,1,arcadian,10000.00,100.00
0,M,unemployed,124.10,25,arcadian,10000.00,100.00
0,M,farmer,1868.39,36,hyperborean,10000.00,100.00
0,F,child,0.00,1,arcadian,10000.00,100.00
0,F,civil servant,5045.29,41,arcadian,10000.00,100.00
0,F,child,0.00,8,atlantean,10000.00,100.00
0,M,homemaker,149.64,30,atlantean,10000.00,100.00
0,M,child,0.00,3,hyperborean,10000.00,100.00
0,M,fisher,1381.20,24,arcadian,10000.00,100.00
0,M,child,0.00,13,arcadian,10000.00,100.00
0,F,fisher,1289.44,21,arcadian,10000.00,100.00
0,M,homemaker,236.64,49,arcadian,10000.00,100.00
0,M,farmer,1354.75,24,atlantean,10000.00,100.00
0,F,craftsman,4597.94,48,hyperborean,10000.00,100.00
0,F,service provider,6856.92,54,atlantean,10000.00,100.00
0,M,child,0.00,16,atlantean,10000.00,100.00
0,F,child,0.00,5,arcadian,10000.00,100.00
0,F,child,0.00,1,atlantean,10000.00,100.00
0,M,civil servant,4389.01,35,hyperborean,10000.00,100.00
0,F,civil servant,7777.50,64,atlantean,10000.00,100.00
0,F,unemployed,113.73,22,atlantean,10000.00,100.00
0,M,craftsman,4089.14,42,hyperborean,10000.00,100.00
0,M,homemaker,227.98,50,atlantean,10000.00,100.00
0,F,service provider,5385.51,42,atlantean,10000.00,100.00
0,M,service provider,6093.55,49,hyperborean,10000.00,100.00
0,M,farmer,3086.57,61,atlantean,10000.00,100.00
0,M,child,0.00,12,hyperborean,10000.00,100.00
0,F,child,0.00,1,atlantean,10000.00,100.00
0,F,child,0.00,9,atlantean,10000.00,100.00
0,F,child,0.00,8,atlantean,10000.00,100.00
0,F,civil servant,5392.38,43,atlantean,10000.00,100.00
0,F,farmer,1936.89,36,arcadian,10000.00,100.00
0,X,child,0.00,14,atlantean,10000.00,100.00
0,M,fisher,2372.70,45,atlantean,10000.00,100.00
0,F,homemaker,235.72,49,hyperborean,10000.00,100.00
0,F,child,0.00,10,atlantean,10000.00,100.00
0,F,craftsman,3864.62,39,atlantean,10000.00,100.00
0,F,farmer,2441.01,48,atlantean,10000.00,100.00
0,F,child,0.00,7,atlantean,10000.00,100.00
0,F,service provider,6637.22,53,arcadian,10000.00,100.00
0,M,farmer,3277.47,62,arcadian,10000.00,100.00
0,M,child,0.00,7,arcadian,10000.00,100.00
0,M,child,0.00,1,arcadian,10000.00,100.00
0,M,craftsman,2183.44,20,hyperborean,10000.00,100.00
0,M,craftsman,4399.85,44,arcadian,10000.00,100.00
0,M,unemployed,293.09,62,atlantean,10000.00,100.00
0,M,farmer,1367.43,25,arcadian,10000.00,100.00
0,F,unemployed,220.56,46,hyperborean,10000.00,100.00
0,M,child,0.00,4,atlantean,10000.00,100.00
0,M,craftsman,4229.55,44,hyperborean,10000.00,100.00
0,M,farmer,2139.94,40,hyperborean,10000.00,100.00
0,M,child,0.00,6,arcadian,10000.00,100.00
0,F,homemaker,236.30,50,arcadian,10000.00,100.00
0,F,craftsman,5445.69,55,hyperborean,10000.00,100.00
0,F,homemaker,182.73,39,atlantean,10000.00,100.00
0,M,child,0.00,7,arcadian,10000.00,100.00
0,F,craftsman,6016.06,63,arcadian,10000.00,100.00
0,M,fisher,2603.16,50,arcadian,10000.00,100.00
0,M,civil servant,2925.79,22,arcadian,10000.00,100.00
0,X,homemaker,134.22,27,hyperborean,10000.00,100.00
0,F,farmer,1392.33,24,atlantean,10000.00,100.00
0,F,farmer,1683.52,32,atlantean,10000.00,100.00
0,F,fisher,1288.57,22,arcadian,10000.00,100.00
0,F,service provider,6900.24,55,atlantean,10000.00,100.00
0,F,homemaker,247.78,53,atlantean,10000.00,100.00
0,M,child,0.00,6,arcadian,10000.00,100.00
0,M,homemaker,287.61,62,arcadian,10000.00,100.00
0,M,homemaker,197.02,41,atlantean,10000.00,100.00
0,M,unemployed,237.93,53,hyperborean,10000.00,100.00
0,M,civil servant,5566.21,45,arcadian,10000.00,100.00
0,F,homemaker,146.93,28,arcadian,10000.00,100.00
0,F,service provider,5938.20,47,arcadian,10000.00,100.00
0,M,fisher,3126.70,62,atlantean,10000.00,100.00
0,F,child,0.00,17,arcadian,10000.00,100.00
0,M,craftsman,5300.90,52,hyperborean,10000.00,100.00
0,F,farmer,1894.38,34,arcadian,10000.00,100.00
0,M,homemaker,156.54,31,hyperborean,10000.00,100.00
0,M,fisher,1496.78,28,arcadian,10000.00,100.00
0,M,service provider,5718.21,47,atlantean,10000.00,100.00
0,F,child,0.00,17,arcadian,10000.00,100.00
0,M,farmer,2708.38,55,atlantean,10000.00,100.00
0,F,homemaker,261.24,53,atlantean,10000.00,100.00
0,F,child,0.00,5,arcadian,10000.00,100.00
0,M,service provider,7215.40,57,arcadian,10000.00,100.00
0,M,child,0.00,15,atlantean,10000.00,100.00
0,X,civil servant,3758.38,30,arcadian,10000.00,100.00
0,F,fisher,2173.33,39,arcadian,10000.00,100.00
0,M,farmer,1316.19,24,arcadian,10000.00,100.00
0,M,child,0.00,1,atlantean,10000.00,100.00
0,M,unemployed,255.10,55,hyperborean,10000.00,100.00
0,F,child,0.00,11,atlantean,10000.00,100.00
0,F,child,0.00,13,hyperborean,10000.00,100.00
0,M,homemaker,246.89,51,atlantean,10000.00,100.00
0,M,service provider,3123.43,22,atlantean,10000.00,100.00
0,M,homemaker,278.68,57,arcadian,10000.00,100.00
0,X,homemaker,218.03,45,hyperborean,10000.00,100.00
0,F,child,0.00,17,arcadian,10000.00,100.00
0,X,child,0.00,0,arcadian,10000.00,100.00
0,F,fisher,3087.98,61,arcadian,10000.00,100.00
0,M,child,0.00,5,atlantean,10000.00,100.00
0,F,unemployed,229.95,46,atlantean,10000.00,100.00
0,F,civil servant,3990.84,31,arcadian,10000.00,100.00
0,F,craftsman,5050.23,49,arcadian,10000.00,100.00
0,M,civil servant,5699.37,44,hyperborean,10000.00,100.00
0,F,craftsman,4103.65,41,hyperborean,10000.00,100.00
0,M,homemaker,158.16,31,arcadian,10000.00,100.00
0,M,homemaker,244.32,51,hyperborean,10000.00,100.00
0,M,child,0.00,6,arcadian,10000.00,100.00
0,F,child,0.00,14,arcadian,10000.00,100.00
0,F,civil servant,5498.12,44,arcadian,10000.00,100.00
0,M,fisher,1164.42,19,atlantean,10000.00,100.00
0,F,unemployed,178.10,37,arcadian,10000.00,100.00
0,M,craftsman,3070.34,30,atlantean,10000.00,100.00
0,F,unemployed,168.71,34,atlantean,10000.00,100.00
0,F,fisher,1525.66,27,hyperborean,10000.00,100.00
0,M,farmer,2561.32,48,arcadian,10000.00,100.00
0,F,farmer,1206.03,21,hyperborean,10000.00,100.00
0,F,farmer,2246.46,45,arcadian,10000.00,100.00
0,M,child,0.00,17,hyperborean,10000.00,100.00
0,F,child,0.00,16,hyperborean,10000.00,100.00
0,F,child,0.00,7,hyperborean,10000.00,100.00
0,F,child,0.00,12,hyperborean,10000.00,100.00
