year,sex,profession,income
0,F,civil servant,5131.08
0,M,child,0.00
0,M,unemployed,124.10
0,M,farmer,1868.39
0,F,child,0.00
0,F,civil servant,5045.29
0,F,child,0.00
0,M,homemaker,149.64
0,M,child,0.00
0,M,fisher,1381.20
0,M,child,0.00
0,F,fisher,1289.44
0,M,homemaker,236.64
0,M,farmer,1354.75
0,F,craftsman,4597.94
0,F,service provider,6856.92
0,M,child,0.00
0,F,child,0.00
0,F,child,0.00
0,M,civil servant,4389.01
0,F,civil servant,7777.50
0,F,unemployed,113.73
0,M,craftsman,4089.14
0,M,homemaker,227.98
0,F,service provider,5385.51
0,M,service provider,6093.55
0,M,farmer,3086.57
0,M,child,0.00
0,F,child,0.00
0,F,child,0.00
0,F,child,0.00
0,F,civil servant,5392.38
0,F,farmer,1936.89
0,X,child,0.00
0,M,fisher,2372.70
0,F,homemaker,235.72
0,F,child,0.00
0,F,craftsman,3864.62
0,F,farmer,2441.01
0,F,child,0.00
0,F,service provider,6637.22
0,M,farmer,3277.47
0,M,child,0.00
0,M,child,0.00
0,M,craftsman,2183.44
0,M,craftsman,4399.85
0,M,unemployed,293.09
0,M,farmer,1367.43
0,F,unemployed,220.56
0,M,child,0.00
0,M,craftsman,4229.55
0,M,farmer,2139.94
0,M,child,0.00
0,F,homemaker,236.30
0,F,craftsman,5445.69
0,F,homemaker,182.73
0,M,child,0.00
0,F,craftsman,6016.06
0,M,fisher,2603.16
0,M,civil servant,2925.79
0,X,homemaker,134.22
0,F,farmer,1392.33
0,F,farmer,1683.52
0,F,fisher,1288.57
0,F,service provider,6900.24
0,F,homemaker,247.78
0,M,child,0.00
0,M,homemaker,287.61
0,M,homemaker,197.02
0,M,unemployed,237.93
0,M,civil servant,5566.21
0,F,homemaker,146.93
0,F,service provider,5938.20
0,M,fisher,3126.70
0,F,child,0.00
0,M,craftsman,5300.90
0,F,farmer,1894.38
0,M,homemaker,156.54
0,M,fisher,1496.78
0,M,service provider,5718.21
0,F,child,0.00
0,M,farmer,2708.38
0,F,homemaker,261.24
0,F,child,0.00
0,M,service provider,7215.40
0,M,child,0.00
0,X,civil servant,3758.38
0,F,fisher,2173.33
0,M,farmer,1316.19
0,M,child,0.00
0,M,unemployed,255.10
0,F,child,0.00
0,F,child,0.00
0,M,homemaker,246.89
0,M,service provider,3123.43
0,M,homemaker,278.68
0,X,homemaker,218.03
0,F,child,0.00
0,X,child,0.00
0,F,fisher,3087.98
0,M,child,0.00
0,F,unemployed,229.95
0,F,civil servant,3990.84
0,F,craftsman,5050.23
0,M,civil servant,5699.37
0,F,craftsman,4103.65
0,M,homemaker,158.16
0,M,homemaker,244.32
0,M,child,0.00
0,F,child,0.00
0,F,civil servant,5498.12
0,M,fisher,1164.42
0,F,unemployed,178.10
0,M,craftsman,3070.34
0,F,unemployed,168.71
0,F,fisher,1525.66
0,M,farmer,2561.32
0,F,farmer,1206.03
0,F,farmer,2246.46
0,M,child,0.00
0,F,child,0.00
0,F,child,0.00
0,F,child,0.00
0,F,child,0.00
0,M,farmer,1760.69
0,M,homemaker,227.24
0,M,child,0.00
0,F,child,0.00
0,F,farmer,1738.15
0,F,unemployed,224.40
0,M,homemaker,292.42
0,M,homemaker,173.52
0,F,fisher,1072.23
0,F,child,0.00
0,M,child,0.00
0,F,child,0.00
0,M,child,0.00
0,F,child,0.00
0,F,civil servant,4302.98
0,M,child,0.00
0,M,service provider,7408.69
0,F,fisher,1978.67
0,M,farmer,2417.02
0,F,child,0.00
0,M,service provider,6540.82
0,M,service provider,4163.27
0,F,farmer,2855.48
0,F,unemployed,185.66
0,M,fisher,1725.47
0,M,civil servant,3526.86
0,X,child,0.00
0,F,child,0.00
0,M,homemaker,274.66
0,F,civil servant,3877.13
0,M,homemaker,237.33
0,M,service provider,3519.19
0,M,child,0.00
0,F,homemaker,197.55
0,M,child,0.00
0,M,child,0.00
0,M,fisher,1854.88
0,F,fisher,1174.39
0,M,civil servant,7614.21
0,F,child,0.00
