year,profession,count
0,child,124
0,civil servant,43
0,craftsman,48
0,farmer,73
0,fisher,53
0,homemaker,74
0,service provider,41
0,unemployed,44
1,child,121
1,civil servant,41
1,craftsman,47
1,farmer,75
1,fisher,50
1,homemaker,77
1,retired,9
1,service provider,40
1,unemployed,46
2,child,118
2,civil servant,42
2,craftsman,49
2,farmer,75
2,fisher,48
2,homemaker,74
2,retired,19
2,service provider,40
2,unemployed,45
3,child,113
3,civil servant,42
3,craftsman,49
3,farmer,77
3,fisher,47
3,homemaker,72
3,retired,28
3,service provider,41
3,unemployed,44
4,child,109
4,civil servant,42
4,craftsman,48
4,farmer,75
4,fisher,45
4,homemaker,72
4,retired,40
4,service provider,41
4,unemployed,43
5,child,107
5,civil servant,42
5,craftsman,47
5,farmer,75
5,fisher,46
5,homemaker,72
5,retired,39
5,service provider,41
5,unemployed,44
6,child,103
6,civil servant,44
6,craftsman,47
6,farmer,75
6,fisher,45
6,homemaker,69
6,retired,46
6,service provider,41
6,unemployed,44
7,child,99
7,civil servant,43
7,craftsman,47
7,farmer,75
7,fisher,45
7,homemaker,72
7,retired,46
7,service provider,42
7,unemployed,44
8,child,95
8,civil servant,45
8,craftsman,47
8,farmer,76
8,fisher,46
8,homemaker,70
8,retired,49
8,service provider,41
8,unemployed,45
9,child,92
9,civil servant,45
9,craftsman,46
9,farmer,75
9,fisher,47
9,homemaker,69
9,retired,51
9,service provider,42
9,unemployed,45
10,child,90
10,civil servant,43
10,craftsman,45
10,farmer,75
10,fisher,48
10,homemaker,69
10,retired,58
10,service provider,41
10,unemployed,43
11,child,84
11,civil servant,44
11,craftsman,48
11,farmer,76
11,fisher,48
11,homemaker,72
11,retired,59
11,service provider,39
11,unemployed,41
12,child,80
12,civil servant,46
12,craftsman,50
12,farmer,75
12,fisher,49
12,homemaker,69
12,retired,66
12,service provider,37
12,unemployed,38
13,child,78
13,civil servant,46
13,craftsman,52
13,farmer,76
13,fisher,51
13,homemaker,68
13,retired,63
13,service provider,40
13,unemployed,33
14,child,78
14,civil servant,46
14,craftsman,53
14,farmer,76
14,fisher,53
14,homemaker,65
14,retired,65
14,service provider,40
14,unemployed,30
15,child,82
15,civil servant,45
15,craftsman,54
15,farmer,78
15,fisher,53
15,homemaker,64
15,retired,58
15,service provider,40
15,unemployed,29
16,child,84
16,civil servant,44
16,craftsman,54
16,farmer,77
16,fisher,54
16,homemaker,64
16,retired,57
16,service provider,37
16,unemployed,30
17,child,85
17,civil servant,44
17,craftsman,54
17,farmer,73
17,fisher,52
17,homemaker,65
17,retired,61
17,service provider,37
17,unemployed,30
18,child,89
18,civil servant,44
18,craftsman,54
18,farmer,73
18,fisher,54
18,homemaker,65
18,retired,56
18,service provider,35
18,unemployed,30
19,child,91
19,civil servant,43
19,craftsman,55
