year,profession,sex,count
0,child,F,61
0,child,M,56
0,child,X,7
0,civil servant,F,21
0,civil servant,M,20
0,civil servant,X,2
0,craftsman,F,19
0,craftsman,M,25
0,craftsman,X,4
0,farmer,F,32
0,farmer,M,41
0,fisher,F,26
0,fisher,M,25
0,fisher,X,2
0,homemaker,F,36
0,homemaker,M,35
0,homemaker,X,3
0,service provider,F,16
0,service provider,M,22
0,service provider,X,3
0,unemployed,F,23
0,unemployed,M,20
0,unemployed,X,1
1,child,F,56
1,child,M,58
1,child,X,7
1,civil servant,F,20
1,civil servant,M,19
1,civil servant,X,2
1,craftsman,F,20
1,craftsman,M,24
1,craftsman,X,3
1,farmer,F,34
1,farmer,M,41
1,fisher,F,24
1,fisher,M,24
1,fisher,X,2
1,homemaker,F,38
1,homemaker,M,36
1,homemaker,X,3
1,retired,F,3
1,retired,M,5
1,retired,X,1
1,service provider,F,16
1,service provider,M,21
1,service provider,X,3
1,unemployed,F,25
1,unemployed,M,20
1,unemployed,X,1
2,child,F,55
2,child,M,56
2,child,X,7
2,civil servant,F,21
2,civil servant,M,19
2,civil servant,X,2
2,craftsman,F,20
2,craftsman,M,26
2,craftsman,X,3
2,farmer,F,35
2,farmer,M,40
2,fisher,F,23
2,fisher,M,23
2,fisher,X,2
2,homemaker,F,37
2,homemaker,M,34
2,homemaker,X,3
2,retired,F,7
2,retired,M,11
2,retired,X,1
2,service provider,F,16
2,service provider,M,21
2,service provider,X,3
2,unemployed,F,24
2,unemployed,M,20
2,unemployed,X,1
3,child,F,54
3,child,M,52
3,child,X,7
3,civil servant,F,21
3,civil servant,M,19
3,civil servant,X,2
3,craftsman,F,19
3,craftsman,M,27
3,craftsman,X,3
3,farmer,F,36
3,farmer,M,41
3,fisher,F,24
3,fisher,M,21
3,fisher,X,2
3,homemaker,F,36
3,homemaker,M,33
3,homemaker,X,3
3,retired,F,10
3,retired,M,17
3,retired,X,1
3,service provider,F,16
3,service provider,M,22
3,service provider,X,3
3,unemployed,F,24
3,unemployed,M,19
3,unemployed,X,1
4,child,F,50
4,child,M,53
4,child,X,6
4,civil servant,F,21
4,civil servant,M,19
4,civil servant,X,2
4,craftsman,F,20
4,craftsman,M,25
4,craftsman,X,3
4,farmer,F,38
4,farmer,M,37
