year,F,M,X,Total
0,234,244,22,500
1,236,248,22,506
2,238,250,22,510
3,240,251,22,513
4,240,253,22,515
5,241,250,22,513
6,243,249,22,514
7,242,248,23,513
8,243,249,22,514
9,244,246,22,512
10,244,246,22,512
11,245,244,22,511
12,245,243,22,510
13,243,242,22,507
14,245,240,21,506
15,244,237,22,503
16,239,239,23,501
17,239,239,23,501
18,239,238,23,500
19,239,239,23,501
20,239,240,23,502
21,238,242,23,503
22,234,246,23,503
23,232,249,23,504
24,229,251,23,503
25,231,249,23,503
26,229,249,23,501
27,226,250,23,499
28,227,252,24,503
29,225,253,23,501
30,225,251,21,497
31,225,254,21,500
32,226,255,21,502
33,224,253,21,498
34,228,251,22,501
35,229,250,22,501
36,229,249,22,500
37,230,250,22,502
38,233,246,22,501
39,234,244,22,500
40,234,245,22,501
41,232,246,20,498
42,237,240,19,496
43,238,244,19,501
44,241,244,18,503
45,243,244,17,504
46,237,247,17,501
47,239,246,17,502
48,242,242,18,502
49,241,243,19,503
50,242,241,20,503
51,239,243,20,502
52,244,238,19,501
53,244,238,19,501
54,245,238,19,502
55,244,242,19,505
56,244,241,20,505
57,244,241,20,505
58,245,241,19,505
59,246,240,17,503
60,248,240,17,505
61,249,242,17,508
62,245,245,16,506
63,246,247,16,509
64,248,243,17,508
65,245,244,16,505
66,244,245,16,505
67,244,248,16,508
68,241,249,16,506
69,243,247,15,505
70,240,249,15,504
71,239,250,16,505
72,240,252,16,508
73,241,251,16,508
74,245,248,16,509
75,246,248,16,510
76,247,250,15,512
77,249,251,15,515
78,247,251,15,513
79,248,250,15,513
80,246,249,15,510
81,246,249,15,510
82,246,247,15,508
83,245,248,15,508
84,245,246,14,505
85,247,247,14,508
86,246,249,14,509
87,246,247,15,508
88,244,246,15,505
89,245,246,15,506
90,247,246,15,508
91,248,240,15,503
92,249,242,14,505
93,247,239,14,500
94,247,239,13,499
95,246,236,16,498
96,247,237,17,501
97,249,236,18,503
98,250,234,19,503
99,254,232,19,505
100,251,231,19,501
