year,sex,profession,income,age,net_worth,happiness
0,F,civil servant,5131.08,40,10000.00,100.00
0,M,child,0.00,1,10000.00,100.00
0,M,unemployed,124.10,25,10000.00,100.00
0,M,farmer,1868.39,36,10000.00,100.00
0,F,child,0.00,1,10000.00,100.00
0,F,civil servant,5045.29,41,10000.00,100.00
0,F,child,0.00,8,10000.00,100.00
0,M,homemaker,149.64,30,10000.00,100.00
0,M,child,0.00,3,10000.00,100.00
0,M,fisher,1381.20,24,10000.00,100.00
0,M,child,0.00,13,10000.00,100.00
0,F,fisher,1289.44,21,10000.00,100.00
0,M,homemaker,236.64,49,10000.00,100.00
0,M,farmer,1354.75,24,10000.00,100.00
0,F,craftsman,4597.94,48,10000.00,100.00
0,F,service provider,6856.92,54,10000.00,100.00
0,M,child,0.00,16,10000.00,100.00
0,F,child,0.00,5,10000.00,100.00
0,F,child,0.00,1,10000.00,100.00
0,M,civil servant,4389.01,35,10000.00,100.00
0,F,civil servant,7777.50,64,10000.00,100.00
0,F,unemployed,113.73,22,10000.00,100.00
0,M,craftsman,4089.14,42,10000.00,100.00
0,M,homemaker,227.98,50,10000.00,100.00
0,F,service provider,5385.51,42,10000.00,100.00
0,M,service provider,6093.55,49,10000.00,100.00
0,M,farmer,3086.57,61,10000.00,100.00
0,M,child,0.00,12,10000.00,100.00
0,F,child,0.00,1,10000.00,100.00
0,F,child,0.00,9,10000.00,100.00
0,F,child,0.00,8,10000.00,100.00
0,F,civil servant,5392.38,43,10000.00,100.00
0,F,farmer,1936.89,36,10000.00,100.00
0,X,child,0.00,14,10000.00,100.00
0,M,fisher,2372.70,45,10000.00,100.00
0,F,homemaker,235.72,49,10000.00,100.00
0,F,child,0.00,10,10000.00,100.00
0,F,craftsman,3864.62,39,10000.00,100.00
0,F,farmer,2441.01,48,10000.00,100.00
0,F,child,0.00,7,10000.00,100.00
0,F,service provider,6637.22,53,10000.00,100.00
0,M,farmer,3277.47,62,10000.00,100.00
0,M,child,0.00,7,10000.00,100.00
0,M,child,0.00,1,10000.00,100.00
0,M,craftsman,2183.44,20,10000.00,100.00
0,M,craftsman,4399.85,44,10000.00,100.00
0,M,unemployed,293.09,62,10000.00,100.00
0,M,farmer,1367.43,25,10000.00,100.00
0,F,unemployed,220.56,46,10000.00,100.00
0,M,child,0.00,4,10000.00,100.00
0,M,craftsman,4229.55,44,10000.00,100.00
0,M,farmer,2139.94,40,10000.00,100.00
0,M,child,0.00,6,10000.00,100.00
0,F,homemaker,236.30,50,10000.00,100.00
0,F,craftsman,5445.69,55,10000.00,100.00
0,F,homemaker,182.73,39,10000.00,100.00
0,M,child,0.00,7,10000.00,100.00
0,F,craftsman,6016.06,63,10000.00,100.00
0,M,fisher,2603.16,50,10000.00,100.00
0,M,civil servant,2925.79,22,10000.00,100.00
0,X,homemaker,134.22,27,10000.00,100.00
0,F,farmer,1392.33,24,10000.00,100.00
0,F,farmer,1683.52,32,10000.00,100.00
0,F,fisher,1288.57,22,10000.00,100.00
0,F,service provider,6900.24,55,10000.00,100.00
0,F,homemaker,247.78,53,10000.00,100.00
0,M,child,0.00,6,10000.00,100.00
0,M,homemaker,287.61,62,10000.00,100.00
0,M,homemaker,197.02,41,10000.00,100.00
0,M,unemployed,237.93,53,10000.00,100.00
0,M,civil servant,5566.21,45,10000.00,100.00
0,F,homemaker,146.93,28,10000.00,100.00
0,F,service provider,5938.20,47,10000.00,100.00
0,M,fisher,3126.70,62,10000.00,100.00
0,F,child,0.00,17,10000.00,100.00
0,M,craftsman,5300.90,52,10000.00,100.00
0,F,farmer,1894.38,34,10000.00,100.00
0,M,homemaker,156.54,31,10000.00,100.00
0,M,fisher,1496.78,28,10000.00,100.00
0,M,service provider,5718.21,47,10000.00,100.00
0,F,child,0.00,17,10000.00,100.00
0,M,farmer,2708.38,55,10000.00,100.00
0,F,homemaker,261.24,53,10000.00,100.00
0,F,child,0.00,5,10000.00,100.00
0,M,service provider,7215.40,57,10000.00,100.00
0,M,child,0.00,15,10000.00,100.00
0,X,civil servant,3758.38,30,10000.00,100.00
0,F,fisher,2173.33,39,10000.00,100.00
0,M,farmer,1316.19,24,10000.00,100.00
